date,mise_stars,asdf_stars,hk_stars,just_stars
2019-10-18,0,5639,0,1125
2019-10-19,0,5641,0,30048
2019-10-20,0,5645,0,1128
2019-10-21,0,5652,0,1131
2019-10-22,0,5658,0,1133
2019-10-23,0,5672,0,1134
2019-10-24,0,5676,0,1137
2019-10-25,0,5680,0,30048
2019-10-26,0,5680,0,1138
2019-10-27,0,5684,0,30048
2019-10-28,0,5690,0,30048
2019-10-29,0,5700,0,1141
2019-10-30,0,5706,0,1142
2019-10-31,0,5713,0,30048
2019-11-01,0,5718,0,30048
2019-11-02,0,5721,0,1143
2019-11-03,0,5723,0,1145
2019-11-04,0,5732,0,1146
2019-11-05,0,5738,0,30048
2019-11-06,0,5748,0,30048
2019-11-07,0,5754,0,1148
2019-11-08,0,5761,0,30048
2019-11-09,0,5762,0,1149
2019-11-10,0,5763,0,1151
2019-11-11,0,5766,0,1153
2019-11-12,0,5771,0,1157
2019-11-13,0,5785,0,1159
2019-11-14,0,5794,0,1161
2019-11-15,0,5797,0,30048
2019-11-16,0,5802,0,30048
2019-11-17,0,5805,0,30048
2019-11-18,0,5813,0,1171
2019-11-19,0,5819,0,1178
2019-11-20,0,5825,0,1182
2019-11-21,0,5830,0,1183
2019-11-22,0,5847,0,1184
2019-11-23,0,5855,0,1186
2019-11-24,0,5859,0,1187
2019-11-25,0,5873,0,30048
2019-11-26,0,5881,0,30048
2019-11-27,0,5893,0,1189
2019-11-28,0,5900,0,1190
2019-11-29,0,5901,0,30048
2019-11-30,0,5904,0,30048
2019-12-01,0,5911,0,30048
2019-12-02,0,5922,0,1194
2019-12-03,0,5927,0,1195
2019-12-04,0,5931,0,1198
2019-12-05,0,5940,0,1201
2019-12-06,0,5949,0,30048
2019-12-07,0,5953,0,30048
2019-12-08,0,5955,0,1204
2019-12-09,0,5962,0,1212
2019-12-10,0,5966,0,1219
2019-12-11,0,5973,0,1221
2019-12-12,0,5977,0,1223
2019-12-13,0,5983,0,1225
2019-12-14,0,5990,0,30048
2019-12-15,0,5992,0,1226
2019-12-16,0,6003,0,1227
